"trial,""ref_position"",""var_area"",""response"",""correct"",""rt"""
"1,""L"",12.9252092565876,""R"",TRUE,7.79200005531311"
"2,""R"",11.3064369577914,""R"",FALSE,2.78200006484985"
"3,""L"",11.2051251097582,""R"",TRUE,1.09899997711182"
"4,""L"",14.4225314031355,""R"",TRUE,0.499000072479248"
"5,""L"",10.8880726767238,""R"",TRUE,0.496000051498413"
"6,""R"",11.3428726166021,""R"",FALSE,0.902999877929688"
"7,""L"",8.1582562092226,""R"",FALSE,4.48699998855591"
"8,""R"",11.411070271628,""R"",FALSE,0.796000003814697"
"9,""L"",14.9812763258815,""R"",TRUE,2.10399985313416"
"10,""R"",9.93950952077284,""L"",TRUE,4.19099998474121"
"11,""R"",8.800497462973,""R"",TRUE,2"
"12,""R"",10.3841690155677,""L"",TRUE,2.18300008773804"
"13,""L"",12.3399367639795,""R"",TRUE,2.79200005531311"
"14,""L"",12.4881755318493,""R"",TRUE,0.997999906539917"
"15,""L"",8.09686824679375,""R"",FALSE,5.08299994468689"
"16,""L"",13.4128392997663,""R"",TRUE,0.492000102996826"
"17,""R"",10.8945358919445,""L"",TRUE,1.99499988555908"
"18,""L"",13.4262865602504,""R"",TRUE,1.18499994277954"
"19,""R"",9.20930469757877,""L"",TRUE,1.59799981117249"
"20,""R"",14.0181762790307,""L"",TRUE,1.59699988365173"
